,Hora_Ini_E,Per_hog,Turismos,Sexo,Edad,crnt_tur,O_long,O_lat,D_long,D_lat,drive_tt,distance,original_distance,Coworking,Rem_work,walk_tt,transit_tt,Tipo_familia,Mun_Ori,Mun_Des,prediction,Mode,CO2,CO2_worst_case
0,99,2,3,2,3,1,-1.9117252420278237,43.31107711854578,-2.033693,43.256347,14.037133333333333,48289.935,14661.301,1,0,242.55316666666667,46.688,4,67,69,2,Car,9.255570874999998,14.050413458333331
1,97,1,2,1,4,1,-1.8986722932272069,43.3098632949247,-2.033693,43.256347,16.351333333333333,42719.735,15974.84,1,0,259.78025,50.183,3,67,69,2,Car,8.187949208333333,15.309221666666664
2,99,2,3,2,3,1,-1.9118876377086231,43.311554222121856,-2.033693,43.256347,14.123566666666667,48117.03999999999,14695.88,1,0,244.59786666666665,46.094,4,67,69,2,Car,9.222432666666665,14.083551666666663
3,97,1,3,1,4,1,-1.894281506875208,43.30890901467812,-2.033693,43.256347,15.109866666666667,40788.74,16048.096,1,0,266.37218333333334,49.07,5,67,69,2,Car,7.817841833333331,15.379425333333328
4,97,1,2,2,4,1,-1.8980897442731728,43.31272703953352,-2.033693,43.256347,15.988949999999999,41165.245,15797.317,1,0,261.3415166666667,47.69,3,67,69,2,Car,7.890005291666666,15.13909545833333
5,99,2,3,2,3,1,-1.9058372642490795,43.3122915496518,-2.033693,43.256347,15.331816666666667,45939.67,15179.198,1,0,251.76893333333334,46.826,4,67,69,2,Car,8.805103416666665,14.546731416666663
6,103,2,2,2,3,1,-1.9089895863498891,43.31399663024324,-2.033693,43.256347,15.067316666666667,46164.314999999995,15073.387,1,0,248.41240000000002,45.549,2,67,69,2,Car,8.848160374999997,14.44532920833333
7,99,2,3,2,5,1,-1.903873319238777,43.31312493236364,-2.033693,43.256347,16.006183333333333,43866.53,15469.91,1,0,256.43078333333335,45.484,6,67,69,2,Car,8.407751583333333,14.825330416666663
8,100,2,2,2,5,2,-1.899036491637472,43.31249182055583,-2.033693,43.256347,16.748966666666668,42850.67,15746.825,1,0,260.33596666666665,48.117,2,67,69,2,Car,8.213045083333332,15.090707291666664
9,99,2,3,2,3,1,-1.9037308363731915,43.31594902573766,-2.033693,43.256347,15.632233333333334,43406.705,15355.679,1,0,256.96895,45.924,4,67,69,2,Car,8.319618458333332,14.715859041666665
