,Hora_Ini_E,Per_hog,Turismos,Sexo,Edad,crnt_tur,O_long,O_lat,D_long,D_lat,drive_tt,distance,original_distance,Coworking,Rem_work,walk_tt,transit_tt,Tipo_familia,Mun_Ori,Mun_Des,prediction,Mode,CO2,CO2_worst_case
0,99,2,3,2,3,1,-1.911725242027824,43.31107711854578,-2.033693,43.256347,14.037133333333333,73306.505,14661.301,0,0,242.55316666666667,49.991,4,67,69,2,Car,14.050413458333331,14.050413458333331
1,97,1,2,1,4,1,-1.8986722932272069,43.3098632949247,-2.033693,43.256347,16.351333333333333,79874.2,15974.84,0,0,259.78025,50.417,3,67,69,2,Car,15.309221666666664,15.309221666666664
2,99,2,3,2,3,1,-1.9118876377086231,43.311554222121856,-2.033693,43.256347,14.123566666666667,73479.4,14695.88,0,0,244.59786666666665,50.312,4,67,69,2,Car,14.083551666666663,14.083551666666663
3,97,1,3,1,4,1,-1.894281506875208,43.30890901467812,-2.033693,43.256347,15.109866666666667,80240.48,16048.096,0,0,266.37218333333334,53.459,5,67,69,2,Car,15.379425333333328,15.379425333333328
4,97,1,2,2,4,1,-1.8980897442731728,43.31272703953352,-2.033693,43.256347,15.988949999999999,78986.58499999999,15797.317,0,0,261.3415166666667,50.911,3,67,69,2,Car,15.13909545833333,15.13909545833333
5,99,2,3,2,3,1,-1.9058372642490795,43.3122915496518,-2.033693,43.256347,15.331816666666667,75895.99,15179.198,0,0,251.76893333333334,47.06,4,67,69,2,Car,14.546731416666663,14.546731416666663
6,103,2,2,2,3,1,-1.9089895863498887,43.31399663024324,-2.033693,43.256347,15.067316666666667,75366.935,15073.387,0,0,248.41240000000002,51.304,2,67,69,2,Car,14.44532920833333,14.44532920833333
7,99,2,3,2,5,1,-1.903873319238777,43.31312493236364,-2.033693,43.256347,16.006183333333333,77349.55,15469.91,0,0,256.43078333333335,49.695,6,67,69,2,Car,14.825330416666663,14.825330416666663
8,100,2,2,2,5,2,-1.899036491637472,43.31249182055583,-2.033693,43.256347,16.748966666666668,78734.125,15746.825,0,0,260.33596666666665,50.163,2,67,69,1,PT,3.544528858405173,15.090707291666664
9,99,2,3,2,3,1,-1.9037308363731915,43.31594902573766,-2.033693,43.256347,15.632233333333334,76778.395,15355.679,0,0,256.96895,51.869,4,67,69,2,Car,14.715859041666665,14.715859041666665
10,103,2,2,1,3,1,-1.9067584149298509,43.318737228790766,-2.033693,43.256347,14.35225,74183.43,14836.686,0,0,251.31453333333332,53.351,2,67,69,2,Car,14.218490749999997,14.218490749999997
11,99,2,3,2,5,1,-1.9005227361968453,43.31222964908327,-2.033693,43.256347,16.5257,77989.655,15597.931,0,0,258.01773333333335,50.979,6,67,69,2,Car,14.948017208333331,14.948017208333331
12,99,2,3,2,3,1,-1.9023360863276304,43.31528535628448,-2.033693,43.256347,15.624666666666666,76763.255,15352.651,0,0,257.44561666666664,51.966,4,67,69,2,Car,14.71295720833333,14.71295720833333
13,103,2,2,2,3,1,-1.907977044027914,43.31216081919536,-2.033693,43.256347,15.1226,75477.52,15095.504,0,0,249.10358333333335,47.04,2,67,69,2,Car,14.466524666666665,14.466524666666665
14,100,2,2,2,5,2,-1.9006492611840464,43.31194572311819,-2.033693,43.256347,16.244733333333333,77721.855,15544.371,0,0,257.42875,50.667,2,67,69,1,PT,3.498957510181035,14.896688874999997
15,103,2,2,2,3,1,-1.9047960206134904,43.31126920483012,-2.033693,43.256347,15.48675,76205.83499999999,15241.167,0,0,251.54486666666665,48.67,2,67,69,2,Car,14.606118374999996,14.606118374999996
16,103,2,2,1,3,1,-1.9080108344615605,43.31458226296263,-2.033693,43.256347,15.1895,75611.3,15122.26,0,0,250.38123333333334,50.91,2,67,69,2,Car,14.492165833333331,14.492165833333331
17,97,1,2,2,4,1,-1.90742776847942,43.31506977227039,-2.033693,43.256347,15.250166666666667,75732.635,15146.527,0,0,249.85466666666667,49.947,3,67,69,2,Car,14.515421708333331,14.515421708333331
18,99,2,3,2,3,1,-1.9053882504172168,43.29025147591379,-2.033693,43.256347,18.106316666666665,66443.73999999999,13288.748,0,0,225.51955,57.101,4,67,69,2,Car,12.735050166666664,12.735050166666664
19,103,2,2,2,3,1,-1.904225287663372,43.308352245667606,-2.033693,43.256347,15.262666666666666,75757.65000000001,15151.53,0,0,250.62531666666666,53.948,2,67,69,2,Car,14.520216249999997,14.520216249999997
20,99,2,3,2,5,1,-1.9029722266894908,43.31473214248491,-2.033693,43.256347,15.487933333333332,76333.33,15266.666,0,0,256.46543333333335,51.587,6,67,69,2,Car,14.630554916666663,14.630554916666663
21,103,2,2,1,3,1,-1.9105662739558225,43.31569287145727,-2.033693,43.256347,15.20875,75649.825,15129.965,0,0,244.73193333333333,52.884,2,67,69,2,Car,14.499549791666665,14.499549791666665
22,100,2,2,2,5,2,-1.899516320502736,43.31287524025499,-2.033693,43.256347,16.797366666666665,78360.11499999999,15672.023,0,0,260.0866666666667,51.119,2,67,69,1,PT,3.527691315112069,15.019022041666663
23,97,1,2,1,4,1,-1.911544054290872,43.28582436693907,-2.033693,43.256347,17.30521666666667,60919.36,12183.872,0,0,213.99311666666665,58.367,3,67,69,2,Car,11.676210666666664,11.676210666666664
24,103,2,2,1,3,1,-1.9064258399235607,43.317619112618544,-2.033693,43.256347,14.2681,74049.935,14809.987,0,0,252.69286666666667,52.953,2,67,69,2,Car,14.19290420833333,14.19290420833333
25,97,1,2,2,5,1,-1.9048057939857288,43.31229751805535,-2.033693,43.256347,15.518616666666667,76269.595,15253.919,0,0,253.41468333333333,48.025,5,67,69,2,Car,14.618339041666664,14.618339041666664
26,100,2,2,2,5,2,-1.8843157432958275,43.310047316514655,-2.033693,43.256347,13.066616666666667,83262.23,16652.446,0,0,280.27815,55.286,2,67,69,1,PT,3.7483794612586205,15.95859408333333
27,99,2,3,2,5,1,-1.9034726102365709,43.31377371784783,-2.033693,43.256347,15.775816666666666,76953.285,15390.657,0,0,257.20753333333334,50.612,6,67,69,2,Car,14.749379624999996,14.749379624999996
