,Hora_Ini_E,Per_hog,Turismos,Sexo,Edad,crnt_tur,O_long,O_lat,D_long,D_lat,drive_tt,distance,original_distance,Coworking,Rem_work,walk_tt,transit_tt,Tipo_familia,Mun_Ori,Mun_Des,prediction,Mode,CO2,CO2_worst_case
0,99,2,3,2,3,1,-1.911725242027824,43.31107711854578,-2.033693,43.256347,14.037133333333333,23432.225,14661.301,1,0,242.55316666666667,49.991,4,67,69,2,Car,3.2336470499999996,10.11629769
1,97,1,2,1,4,1,-1.8986722932272069,43.3098632949247,-2.033693,43.256347,16.351333333333333,17806.54,15974.84,1,0,259.78025,50.417,3,67,69,2,Car,2.45730252,11.022639599999998
2,99,2,3,2,3,1,-1.9118876377086231,43.311554222121856,-2.033693,43.256347,14.123566666666667,23259.33,14695.88,1,0,244.59786666666665,50.312,4,67,69,2,Car,3.2097875399999998,10.140157199999997
3,97,1,3,1,4,1,-1.894281506875208,43.30890901467812,-2.033693,43.256347,15.109866666666667,17044.31,16048.096,1,0,266.37218333333334,53.459,5,67,69,2,Car,2.35211478,11.073186239999998
4,97,1,2,2,4,1,-1.8980897442731728,43.31272703953352,-2.033693,43.256347,15.988949999999999,16252.05,15797.317,1,0,261.3415166666667,50.911,3,67,69,2,Car,2.2427829,10.90014873
5,99,2,3,2,3,1,-1.9058372642490795,43.3122915496518,-2.033693,43.256347,15.331816666666667,21081.96,15179.198,1,0,251.76893333333334,47.06,4,67,69,2,Car,2.90931048,10.47364662
6,103,2,2,2,3,1,-1.9089895863498887,43.31399663024324,-2.033693,43.256347,15.067316666666667,24116.565000000002,15073.387,1,0,248.41240000000002,51.304,2,67,69,2,Car,3.3280859699999996,10.40063703
7,99,2,3,2,5,1,-1.903873319238777,43.31312493236364,-2.033693,43.256347,16.006183333333333,19719.690000000002,15469.91,1,0,256.43078333333335,49.695,6,67,69,2,Car,2.72131722,10.674237899999998
8,100,2,2,2,5,2,-1.899036491637472,43.31249182055583,-2.033693,43.256347,16.748966666666668,17937.475,15746.825,1,0,260.33596666666665,50.163,2,67,69,2,Car,2.4753715499999998,10.865309250000001
9,99,2,3,2,3,1,-1.9037308363731915,43.31594902573766,-2.033693,43.256347,15.632233333333334,19549.015,15355.679,1,0,256.96895,51.869,4,67,69,2,Car,2.69776407,10.59541851
10,103,2,2,1,3,1,-1.9067584149298509,43.318737228790766,-2.033693,43.256347,14.35225,21787.370000000003,14836.686,1,0,251.31453333333332,53.351,2,67,69,2,Car,3.00665706,10.237313339999998
11,99,2,3,2,5,1,-1.9005227361968453,43.31222964908327,-2.033693,43.256347,16.5257,18264.835,15597.931,1,0,258.01773333333335,50.979,6,67,69,2,Car,2.5205472299999996,10.762572389999999
12,99,2,3,2,3,1,-1.9023360863276304,43.31528535628448,-2.033693,43.256347,15.624666666666666,18906.655,15352.651,1,0,257.44561666666664,51.966,4,67,69,2,Car,2.60911839,10.593329189999999
13,103,2,2,2,3,1,-1.907977044027914,43.31216081919536,-2.033693,43.256347,15.1226,21495.475000000002,15095.504,1,0,249.10358333333335,47.04,2,67,69,2,Car,2.9663755499999995,10.41589776
14,100,2,2,2,5,2,-1.9006492611840464,43.31194572311819,-2.033693,43.256347,16.244733333333333,18826.785,15544.371,1,0,257.42875,50.667,2,67,69,2,Car,2.5980963299999997,10.725615989999998
15,103,2,2,2,3,1,-1.9047960206134904,43.31126920483012,-2.033693,43.256347,15.48675,20342.805,15241.167,1,0,251.54486666666665,48.67,2,67,69,2,Car,2.8073070899999997,10.516405229999998
16,103,2,2,1,3,1,-1.9080108344615605,43.31458226296263,-2.033693,43.256347,15.1895,23872.199999999997,15122.26,1,0,250.38123333333334,50.91,2,67,69,2,Car,3.2943635999999996,10.4343594
17,97,1,2,2,4,1,-1.90742776847942,43.31506977227039,-2.033693,43.256347,15.250166666666667,23807.94,15146.527,1,0,249.85466666666667,49.947,3,67,69,2,Car,3.2854957199999992,10.45110363
18,99,2,3,2,3,1,-1.9053882504172168,43.29025147591379,-2.033693,43.256347,18.106316666666665,26583.879999999997,13288.748,1,0,225.51955,57.101,4,67,69,2,Car,3.6685754399999997,9.169236119999999
19,103,2,2,2,3,1,-1.904225287663372,43.308352245667606,-2.033693,43.256347,15.262666666666666,21487.795000000002,15151.53,1,0,250.62531666666666,53.948,2,67,69,2,Car,2.96531571,10.454555699999998
20,99,2,3,2,5,1,-1.9029722266894908,43.31473214248491,-2.033693,43.256347,15.487933333333332,19291.489999999998,15266.666,1,0,256.46543333333335,51.587,6,67,69,2,Car,2.6622256199999996,10.533999539999998
21,103,2,2,1,3,1,-1.9105662739558225,43.31569287145727,-2.033693,43.256347,15.20875,24970.635000000002,15129.965,1,0,244.73193333333333,52.884,2,67,69,2,Car,3.44594763,10.43967585
22,100,2,2,2,5,2,-1.899516320502736,43.31287524025499,-2.033693,43.256347,16.797366666666665,17894.375,15672.023,1,0,260.0866666666667,51.119,2,67,69,2,Car,2.46942375,10.813695869999998
23,97,1,2,1,4,1,-1.911544054290872,43.28582436693907,-2.033693,43.256347,17.30521666666667,33887.61,12183.872,1,0,213.99311666666665,58.367,3,67,69,2,Car,4.67649018,8.406871679999998
24,103,2,2,1,3,1,-1.9064258399235607,43.317619112618544,-2.033693,43.256347,14.2681,21188.699999999997,14809.987,1,0,252.69286666666667,52.953,2,67,69,2,Car,2.9240405999999997,10.218891029999998
25,97,1,2,2,5,1,-1.9048057939857288,43.31229751805535,-2.033693,43.256347,15.518616666666667,20354.945,15253.919,1,0,253.41468333333333,48.025,5,67,69,2,Car,2.8089824099999996,10.525204109999999
26,100,2,2,2,5,2,-1.8843157432958275,43.310047316514655,-2.033693,43.256347,13.066616666666667,10626.705,16652.446,1,0,280.27815,55.286,2,67,69,2,Car,1.4664852899999998,11.49018774
27,99,2,3,2,5,1,-1.9034726102365709,43.31377371784783,-2.033693,43.256347,15.775816666666666,19427.135000000002,15390.657,1,0,257.20753333333334,50.612,6,67,69,2,Car,2.68094463,10.619553329999999
28,97,1,2,2,5,1,-1.9042244613820547,43.31462229391806,-2.033693,43.256347,15.25555,19449.92,15204.981,1,0,254.47741666666667,51.037,5,67,69,2,Car,2.6840889599999995,10.49143689
29,103,2,2,1,3,1,-1.8837848093670388,43.309561105374186,-2.033693,43.256347,12.969133333333334,10414.32,16611.678,1,0,279.1633,54.295,2,67,69,2,Car,1.43717616,11.462057819999998
30,97,1,2,2,5,1,-1.9015441128026591,43.31552428524954,-2.033693,43.256347,15.710366666666665,18539.905000000002,15426.001,1,0,258.26823333333334,52.008,5,67,69,2,Car,2.5585068900000003,10.643940689999999
31,97,1,2,2,5,1,-1.9066878496331816,43.31538714791489,-2.033693,43.256347,15.299800000000001,23120.120000000003,15092.66,1,0,250.5609,50.898,5,67,69,2,Car,3.19057656,10.413935399999998
32,97,1,3,1,4,1,-1.904102130082505,43.28507845047166,-2.033693,43.256347,18.80891666666667,30046.59,13228.728,1,0,228.35521666666668,67.061,5,67,69,2,Car,4.14642942,9.12782232
33,99,2,3,2,3,1,-1.904354964084808,43.31664196736475,-2.033693,43.256347,15.759333333333332,19803.24,15406.524,1,0,256.2436,52.674,4,67,69,2,Car,2.7328471199999997,10.630501559999999
34,97,1,2,2,4,1,-1.9089867411437649,43.3129556632034,-2.033693,43.256347,14.925233333333333,22543.535000000003,15016.558,1,0,249.64901666666668,49.022,3,67,69,2,Car,3.11100783,10.36142502
35,97,1,3,1,4,1,-1.892341561257225,43.30696976684494,-2.033693,43.256347,15.544483333333334,18817.18,15945.218,1,0,267.6594166666667,53.825,5,67,69,2,Car,2.5967708399999996,11.00220042
36,97,1,2,1,4,1,-1.9010247318163056,43.31061970062997,-2.033693,43.256347,16.252916666666668,19963.65,15490.84,1,0,256.20148333333333,50.278,3,67,69,2,Car,2.7549837,10.688679599999999
37,103,2,2,2,3,1,-1.9101432391558888,43.31374337337467,-2.033693,43.256347,14.638883333333332,23791.87,14902.013,1,0,246.7366,50.336,2,67,69,2,Car,3.2832780599999998,10.28238897
38,97,2,3,2,4,1,-2.0451893451837724,43.2714324427981,-2.033693,43.256347,8.323833333333333,23953.274999999998,4790.655,0,0,64.7567,22.389,2,73,69,2,Car,3.3055519499999995,3.3055519499999995
39,97,2,3,2,4,1,-2.039588349558443,43.2693842203815,-2.033693,43.256347,6.568433333333333,21235.19,4247.038,0,0,35.0635,26.347,2,73,69,2,Car,2.9304562199999995,2.9304562199999995
40,97,2,3,2,4,1,-2.05293934916184,43.28544769964985,-2.033693,43.256347,13.93035,33712.38,6742.476,0,0,90.44751666666666,46.705,2,73,69,2,Car,4.65230844,4.65230844
41,97,2,3,2,4,1,-2.0531563837301725,43.27312324498186,-2.033693,43.256347,8.723133333333333,27360.32,5472.064,0,0,64.16638333333334,24.724,2,73,69,2,Car,3.7757241599999998,3.7757241599999998
42,97,2,2,1,5,1,-1.9324913382764963,43.32764647220097,-2.033693,43.256347,13.56235,41311.145,13300.358,1,0,233.44123333333334,52.856,4,64,69,2,Car,5.700938009999999,9.17724702
43,97,2,2,1,5,1,-1.929772416318181,43.32450323169783,-2.033693,43.256347,13.9831,41408.75,13319.879,1,0,229.63085,47.769,4,64,69,2,Car,5.714407499999999,9.19071651
44,97,2,2,1,3,1,-1.916542595733576,43.32706737348905,-2.033693,43.256347,19.899933333333333,27050.940000000002,17337.8,1,0,288.55081666666666,77.717,2,64,69,2,Car,3.73302972,11.963081999999998
45,103,2,2,2,5,2,-1.9193152615030151,43.32543850750479,-2.033693,43.256347,20.148383333333335,27046.685,17336.949,1,0,291.6646,79.728,2,64,69,2,Car,3.7324425299999997,11.96249481
46,103,2,2,2,5,2,-1.9215470014503,43.32846272414535,-2.033693,43.256347,21.99045,29502.845,17828.181,1,0,297.8972333333333,84.682,2,64,69,2,Car,4.07139261,12.301444889999999
47,97,2,2,1,3,1,-1.9283300002391293,43.32417730472337,-2.033693,43.256347,14.334516666666667,42111.575000000004,13460.444,1,0,231.03375,49.761,2,64,69,2,Car,5.81139735,9.287706359999998
48,108,2,3,2,3,1,-1.9323596142467871,43.32576114618454,-2.033693,43.256347,13.2672,40720.825,13182.294,1,0,229.81246666666667,49.102,6,64,69,2,Car,5.619473849999999,9.09578286
49,103,2,2,2,5,2,-1.919651683236455,43.32638919143091,-2.033693,43.256347,20.834083333333336,27961.0,17519.812,1,0,293.6623,81.522,2,64,69,2,Car,3.8586179999999994,12.08867028
50,108,2,3,2,3,1,-1.931347172368095,43.32607081010022,-2.033693,43.256347,13.56235,41311.145,13300.358,1,0,230.1091,50.374,6,64,69,2,Car,5.700938009999999,9.17724702
51,97,2,2,1,3,1,-1.93832747301987,43.32634927675199,-2.033693,43.256347,12.95095,40088.255,13055.78,1,0,227.36746666666667,47.724,2,64,69,2,Car,5.53217919,9.0084882
52,108,2,3,2,3,1,-1.92904244617358,43.32401105660868,-2.033693,43.256347,13.77315,40988.815,13235.892,1,0,229.20141666666666,48.397,6,64,69,2,Car,5.65645647,9.13276548
53,97,1,2,2,4,1,-1.9214352390042488,43.328345991111874,-2.033693,43.256347,21.659550000000003,29061.644999999997,17739.941,1,0,297.8972333333333,84.682,1,64,69,2,Car,4.0105070099999995,12.240559289999997
