,Hora_Ini_E,Per_hog,Turismos,Sexo,Edad,crnt_tur,O_long,O_lat,D_long,D_lat,drive_tt,distance,original_distance,Coworking,Rem_work,walk_tt,transit_tt,Tipo_familia,Mun_Ori,Mun_Des,prediction,Mode,CO2,CO2_worst_case
25,97,1,2,2,5,1,-1.9048057939857288,43.31229751805535,-2.033693,43.256347,15.518616666666667,4921.545,15253.919,1,0,253.41468333333333,48.025,5,67,69,2,Car,0.9432961249999997,14.618339041666664
26,100,2,2,2,5,2,-1.8843157432958275,43.310047316514655,-2.033693,43.256347,13.066616666666667,13931.7,16652.446,1,0,280.27815,55.286,2,67,69,2,Car,2.6702424999999996,15.95859408333333
27,99,2,3,2,5,1,-1.9034726102365709,43.31377371784783,-2.033693,43.256347,15.775816666666666,4958.595,15390.657,1,0,257.20753333333334,50.612,6,67,69,2,Car,0.9503973749999999,14.749379624999996
28,97,1,2,2,5,1,-1.9042244613820547,43.31462229391806,-2.033693,43.256347,15.25555,4666.6449999999995,15204.981,1,0,254.47741666666667,51.037,5,67,69,2,Car,0.8944402916666664,14.571440124999997
29,103,2,2,1,3,1,-1.8837848093670388,43.309561105374186,-2.033693,43.256347,12.969133333333334,13937.16,16611.678,1,0,279.1633,54.295,2,67,69,2,Car,2.6712889999999994,15.919524749999997
30,97,1,2,2,5,1,-1.9015441128026591,43.31552428524954,-2.033693,43.256347,15.710366666666665,6007.9349999999995,15426.001,1,0,258.26823333333334,52.008,5,67,69,2,Car,1.1515208749999997,14.78325095833333
31,97,1,2,2,5,1,-1.9066878496331816,43.31538714791489,-2.033693,43.256347,15.299800000000001,1071.415,15092.66,1,0,250.5609,50.898,5,67,69,2,Car,0.2053545416666666,14.463799166666664
32,97,1,3,1,4,1,-1.904102130082505,43.28507845047166,-2.033693,43.256347,18.80891666666667,20752.425,13228.728,1,0,228.35521666666668,67.061,5,67,69,2,Car,3.977548124999999,12.677530999999997
33,99,2,3,2,3,1,-1.904354964084808,43.31664196736475,-2.033693,43.256347,15.759333333333332,5910.549999999999,15406.524,1,0,256.2436,52.674,4,67,69,2,Car,1.1328554166666662,14.764585499999997
34,97,1,2,2,4,1,-1.9089867411437649,43.3129556632034,-2.033693,43.256347,14.925233333333333,2758.535,15016.558,1,0,249.64901666666668,49.022,3,67,69,2,Car,0.5287192083333332,14.39086808333333
35,97,1,3,1,4,1,-1.892341561257225,43.30696976684494,-2.033693,43.256347,15.544483333333334,11481.79,15945.218,1,0,267.6594166666667,53.825,5,67,69,2,Car,2.200676416666666,15.280833916666664
36,97,1,2,1,4,1,-1.9010247318163056,43.31061970062997,-2.033693,43.256347,16.252916666666668,6407.545,15490.84,1,0,256.20148333333333,50.278,3,67,69,2,Car,1.2281127916666665,14.84538833333333
37,103,2,2,2,3,1,-1.9101432391558888,43.31374337337467,-2.033693,43.256347,14.638883333333332,856.87,14902.013,1,0,246.7366,50.336,2,67,69,2,Car,0.16423341666666663,14.281095791666665
38,97,2,3,2,4,1,-2.0451893451837724,43.2714324427981,-2.033693,43.256347,8.323833333333333,23953.274999999998,4790.655,0,0,64.7567,22.389,2,73,69,2,Car,4.591044374999998,4.591044374999998
